miRNA, Clontech_trimmed.1.fq, Clontech_trimmed.2.fq, Clontech_trimmed.3.fq, Clontech_trimmed.4.fq, Clontech_trimmed.5.fq, Clontech_trimmed.6.fq, Clontech_trimmed.7.fq, Clontech_trimmed.8.fq, Clontech_trimmed.9.fq, Clontech_trimmed.10.fq, Clontech_trimmed.11.fq, Clontech_trimmed.12.fq, Clontech_trimmed.13.fq, Clontech_trimmed.14.fq, Clontech_trimmed.15.fq, Clontech_trimmed.16.fq, Clontech_trimmed.17.fq, Clontech_trimmed.18.fq, Clontech_trimmed.1_acc.fq, Clontech_trimmed.2_acc.fq, Clontech_trimmed.3_acc.fq, Illumina_trimmed.1.fq, Illumina_trimmed.2.fq, Illumina_trimmed.3.fq, Illumina_trimmed.4.fq, Illumina_trimmed.5.fq, Illumina_trimmed.6.fq, Illumina_trimmed.7.fq, Illumina_trimmed.8.fq, Illumina_trimmed.9.fq, Illumina_trimmed.1_acc.fq, Illumina_trimmed.2_acc.fq, Illumina_trimmed.3_acc.fq, NEB_trimmed.1.fq, NEB_trimmed.2.fq, NEB_trimmed.3.fq, NEB_trimmed.4.fq, NEB_trimmed.5.fq, NEB_trimmed.6.fq, NEB_trimmed.7.fq, NEB_trimmed.8.fq, NEB_trimmed.9.fq, NEB_trimmed.10.fq, NEB_trimmed.11.fq, NEB_trimmed.12.fq, NEB_trimmed.1_acc.fq, NEB_trimmed.2_acc.fq, NEB_trimmed.3_acc.fq, NEXT_trimmed.1.fq, NEXT_trimmed.1.fq, NEXT_trimmed.2.fq, NEXT_trimmed.3.fq, NEXT_trimmed.4.fq, NEXT_trimmed.5.fq, NEXT_trimmed.6.fq, NEXT_trimmed.7.fq, NEXT_trimmed.8.fq, NEXT_trimmed.9.fq, NEXT_trimmed.10.fq, NEXT_trimmed.11.fq, NEXT_trimmed.12.fq, NEXT_trimmed.13.fq, NEXT_trimmed.14.fq, NEXT_trimmed.15.fq, NEXT_trimmed.16.fq, NEXT_trimmed.17.fq, NEXT_trimmed.18.fq, NEXT_trimmed.1_acc.fq, NEXT_trimmed.2_acc.fq, NEXT_trimmed.3_acc.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_1_TEST.fq, directional_dedupped_Ns_kept_2_TEST.fq, directional_dedupped_Ns_kept_3_TEST.fq, directional_dedupped_Ns_kept_4_TEST.fq, directional_dedupped_Ns_kept_5_TEST.fq, directional_dedupped_Ns_kept_6_TEST.fq, directional_dedupped_Ns_kept_7_TEST.fq, directional_dedupped_Ns_kept_8_TEST.fq, directional_dedupped_Ns_kept_9_TEST.fq, directional_dedupped_Ns_kept_10_TEST.fq, directional_dedupped_Ns_kept_11_TEST.fq, directional_dedupped_Ns_kept_12_TEST.fq, directional_dedupped_Ns_kept_13_TEST.fq, directional_dedupped_Ns_kept_14_TEST.fq, directional_dedupped_Ns_kept_15_TEST.fq, directional_dedupped_Ns_kept_16_TEST.fq, directional_dedupped_Ns_kept_17_TEST.fq, directional_dedupped_Ns_kept_18_TEST.fq, directional_dedupped_Ns_kept_1_acc_TEST.fq, directional_dedupped_Ns_kept_2_acc_TEST.fq, directional_dedupped_Ns_kept_3_acc_TEST.fq
hsa-let-7e-5p, 12440, 11045, 10611, 6232, 17013, 11289, 21404, 15722, 17068, 8744, 19602, 7753, 11445, 17101, 17234, 22029, 24933, 19642, 18206, 24978, 60632, 8062, 8770, 7114, 11528, 9108, 11182, 5177, 10724, 11430, 3605, 3903, 3578, 35855, 34513, 13098, 14086, 35864, 47526, 62154, 55702, 49523, 74965, 78450, 96063, 61556, 64488, 64576, 47674, 47674, 47775, 30973, 56638, 29054, 21415, 74402, 103043, 89293, 73805, 50803, 39020, 155595, 67777, 63806, 51175, 55576, 54124, 48876, 67999, 43374, 3569, 3569, 3569, 3569, 3569, 3569, 3569, 3569, 3569, 3331, 2831, 4525, 3352, 2569, 4823, 5827, 5624, 5404, 4636, 4055, 7589, 5492, 5146, 4774, 5142, 5178, 4262, 4794, 3982
hsa-let-7f-1-3p, 65, 61, 63, 57, 83, 75, 109, 80, 102, 44, 87, 44, 50, 77, 64, 106, 134, 94, 77, 103, 282, 27, 0, 0, 24, 20, 14, 11, 15, 12, 0, 0, 0, 337, 343, 0, 144, 317, 472, 589, 632, 479, 754, 807, 982, 592, 648, 617, 0, 0, 0, 0, 109, 54, 0, 0, 287, 199, 260, 249, 125, 631, 244, 297, 252, 306, 338, 188, 302, 278, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 36, 24, 41, 48, 29, 56, 22, 48, 40, 60, 61, 45, 38, 47
hsa-let-7f-2-3p, 31, 38, 46, 0, 45, 27, 63, 54, 55, 27, 55, 13, 32, 40, 31, 46, 95, 63, 49, 84, 143, 0, 0, 0, 0, 45, 0, 0, 55, 44, 0, 0, 0, 111, 55, 22, 50, 97, 111, 258, 187, 170, 338, 349, 316, 203, 243, 259, 0, 0, 0, 0, 0, 0, 0, 0, 98, 69, 0, 90, 0, 348, 0, 0, 142, 112, 184, 63, 95, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 71, 0, 0, 66, 50, 70, 39, 26, 50
hsa-let-7f-5p, 41186, 34259, 32212, 24729, 66694, 47219, 84845, 60563, 58403, 32335, 70977, 29317, 44563, 64117, 66151, 86581, 99843, 78911, 71803, 89851, 224184, 45322, 53807, 39649, 69215, 49459, 62213, 28576, 57541, 68063, 20334, 21670, 19261, 419318, 491441, 129603, 164846, 468365, 597763, 771420, 733737, 663266, 966771, 1020786, 1252149, 983547, 1012923, 1021520, 229069, 229069, 208353, 136304, 314624, 178153, 137231, 488864, 595332, 557323, 685687, 435038, 283507, 1475721, 726869, 594036, 656221, 705488, 706840, 527065, 742429, 513502, 6886, 6886, 6886, 6886, 6886, 6886, 6886, 6886, 6886, 5916, 5380, 6804, 6030, 5987, 8025, 7644, 7942, 8863, 7701, 6797, 10441, 9219, 8328, 9755, 9744, 9798, 7362, 8291, 7204
hsa-let-7g-3p, 118, 103, 105, 59, 209, 104, 292, 225, 249, 128, 301, 103, 176, 248, 225, 284, 277, 223, 241, 281, 850, 34, 38, 18, 46, 28, 47, 31, 51, 58, 0, 9, 12, 65, 46, 33, 35, 70, 95, 109, 106, 78, 179, 156, 229, 108, 87, 74, 0, 0, 24, 5, 69, 0, 22, 41, 101, 69, 110, 99, 104, 354, 233, 146, 162, 168, 189, 94, 124, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 7, 9, 10, 29, 28, 20, 69, 61, 36, 56, 51, 66, 20, 18, 25
hsa-let-7g-5p, 38081, 31867, 29790, 12576, 33832, 22542, 42631, 29592, 24122, 16965, 38223, 15547, 23957, 35150, 35630, 45517, 50071, 43497, 34501, 44453, 106980, 21114, 23872, 17661, 31097, 21694, 27719, 12280, 25096, 27228, 7876, 7881, 7460, 233338, 278272, 66030, 111897, 343156, 415403, 608757, 576328, 535417, 785866, 840672, 1064076, 828311, 869427, 848906, 114547, 114547, 100828, 67603, 214357, 127743, 104570, 384015, 457974, 396739, 532935, 346946, 227414, 1188461, 593353, 482133, 529977, 579978, 572247, 401984, 516600, 415453, 4831, 4831, 4831, 4831, 4831, 4831, 4831, 4831, 4831, 4039, 3759, 6105, 4963, 5185, 6917, 6585, 7124, 7820, 6924, 5902, 9567, 8384, 7506, 8788, 9314, 8929, 7506, 8036, 7222
hsa-let-7i-3p, 268, 433, 299, 220, 792, 334, 781, 598, 659, 411, 820, 364, 412, 733, 709, 827, 923, 747, 620, 878, 2294, 158, 81, 82, 94, 113, 135, 72, 184, 121, 25, 28, 29, 104, 113, 37, 90, 205, 264, 447, 381, 318, 564, 479, 645, 284, 305, 305, 58, 58, 62, 37, 269, 80, 174, 466, 417, 491, 966, 724, 708, 3461, 1893, 1469, 1802, 2662, 2270, 739, 964, 672, 17, 17, 17, 17, 17, 17, 17, 17, 17, 19, 12, 111, 45, 42, 97, 115, 172, 331, 259, 247, 606, 476, 408, 504, 667, 616, 283, 264, 247
hsa-let-7i-5p, 4621, 5885, 4610, 2273, 8676, 4242, 9652, 6699, 7103, 4601, 9228, 3881, 5885, 8624, 8696, 10655, 11277, 9818, 8313, 12004, 27721, 9282, 7917, 6564, 10961, 9096, 11506, 5216, 10744, 12729, 3050, 3204, 3027, 207776, 230288, 48272, 64343, 217927, 250129, 322257, 317002, 294214, 399707, 440670, 569742, 432802, 446629, 463055, 22418, 22418, 17339, 11104, 32374, 20648, 19053, 57136, 62324, 64019, 94585, 54877, 34273, 186511, 102944, 73617, 95894, 114923, 101882, 98772, 121019, 101493, 2333, 2333, 2333, 2333, 2333, 2333, 2333, 2333, 2333, 2006, 1695, 3531, 2833, 2370, 4185, 4350, 4840, 5675, 4553, 3664, 7244, 6119, 5202, 6013, 6467, 6181, 6001, 6175, 5582
hsa-miR-1-3p, 602, 443, 462, 318, 756, 556, 986, 707, 618, 393, 824, 334, 545, 717, 764, 984, 1297, 950, 955, 1120, 2717, 22, 25, 25, 42, 31, 24, 27, 31, 36, 5, 5, 3, 2405, 2534, 562, 1287, 3651, 5001, 7611, 8000, 6555, 11816, 13168, 17018, 9517, 8644, 9302, 1340, 1340, 1287, 842, 2127, 1211, 893, 5703, 6073, 5452, 8102, 4732, 3370, 24900, 12867, 9793, 10699, 10810, 10865, 5684, 8945, 6754, 355, 355, 355, 355, 355, 355, 355, 355, 355, 298, 304, 793, 570, 329, 1069, 1257, 1280, 1736, 1290, 1034, 2948, 2144, 1936, 1992, 2076, 2151, 1455, 1777, 1607
hsa-miR-1-5p, 28, 0, 37, 0, 0, 0, 0, 0, 0, 0, 49, 16, 0, 0, 47, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 40, 0, 0, 0, 0, 0, 81, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
hsa-miR-100-3p, 0, 0, 0, 0, 35, 0, 33, 0, 0, 0, 32, 0, 0, 0, 21, 0, 57, 0, 0, 46, 99, 20, 16, 7, 15, 26, 31, 14, 30, 44, 10, 11, 10, 0, 0, 0, 6, 11, 11, 27, 6, 22, 24, 37, 45, 16, 23, 18, 0, 0, 0, 0, 5, 0, 0, 0, 0, 20, 31, 0, 0, 60, 30, 0, 39, 26, 17, 18, 12, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4, 0, 0, 4, 7, 0, 5, 7, 7, 5, 5, 6
hsa-miR-100-5p, 2507, 2135, 2120, 740, 1979, 1239, 2178, 1671, 1258, 898, 1893, 844, 1038, 1712, 1619, 1783, 1991, 1860, 1487, 1508, 3570, 66070, 51523, 68874, 71413, 75926, 66831, 25242, 65801, 52024, 39155, 55946, 59265, 326733, 322913, 103271, 129230, 319766, 403893, 712242, 618090, 493829, 873955, 879727, 1150303, 685426, 746363, 685677, 23219, 23219, 26312, 15623, 51465, 29375, 18607, 107037, 127729, 121694, 203166, 140499, 83868, 427243, 226881, 196243, 201848, 242528, 231522, 177766, 400731, 290485, 2354, 2354, 2354, 2354, 2354, 2354, 2354, 2354, 2354, 2402, 2004, 3910, 3130, 2391, 5391, 5773, 5660, 6781, 6107, 4941, 9289, 7520, 6907, 7147, 7281, 7712, 5514, 6732, 6367
hsa-miR-101-3p, 579, 997, 802, 266, 1389, 351, 1253, 903, 1005, 600, 1370, 575, 858, 1282, 1238, 1553, 2142, 1700, 1268, 1627, 3801, 8652, 9667, 5981, 13132, 10323, 12441, 6674, 14032, 15316, 4305, 4357, 3911, 16778, 25178, 5675, 11426, 25561, 31840, 76155, 65115, 50884, 115815, 111777, 144109, 58869, 62535, 63665, 5224, 5224, 6130, 3736, 18590, 8986, 5540, 28417, 33894, 35141, 65067, 46294, 39890, 170592, 110436, 85505, 98961, 135387, 125395, 57135, 72915, 60050, 938, 938, 938, 938, 938, 938, 938, 938, 938, 943, 744, 3087, 2265, 1264, 3248, 4131, 4196, 6120, 5213, 4635, 9075, 7545, 6813, 7638, 8310, 8337, 5433, 6146, 5658
hsa-miR-101-5p, 36, 46, 43, 19, 69, 32, 71, 44, 91, 26, 64, 18, 40, 54, 54, 82, 101, 75, 72, 104, 250, 129, 79, 53, 105, 88, 83, 49, 106, 84, 24, 21, 20, 100, 135, 30, 73, 133, 183, 387, 367, 290, 589, 551, 677, 250, 267, 248, 0, 0, 0, 0, 31, 21, 0, 57, 35, 64, 107, 87, 55, 284, 177, 139, 130, 171, 140, 99, 126, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 9, 8, 12, 26, 18, 13, 39, 29, 30, 25, 42, 26, 25, 23, 27
hsa-miR-103a-2-5p, 191, 152, 151, 38, 213, 86, 224, 152, 258, 74, 206, 82, 106, 156, 148, 191, 265, 179, 184, 229, 522, 0, 0, 0, 41, 26, 40, 22, 39, 10, 0, 0, 6, 17, 0, 17, 0, 0, 29, 71, 31, 46, 91, 92, 133, 62, 76, 52, 0, 0, 0, 0, 24, 17, 0, 71, 63, 60, 140, 134, 89, 267, 151, 162, 134, 164, 170, 91, 155, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 0, 8, 15, 11, 49, 35, 30, 52, 41, 32, 38, 46, 54, 26, 34, 24
hsa-miR-105-3p, 0, 0, 0, 0, 33, 0, 0, 0, 60, 0, 0, 0, 0, 31, 0, 46, 0, 0, 0, 54, 110, 12, 5, 2, 10, 6, 0, 7, 12, 11, 3, 0, 0, 64, 63, 58, 0, 60, 58, 144, 86, 70, 122, 106, 190, 155, 145, 148, 0, 0, 0, 0, 0, 0, 0, 0, 46, 42, 42, 29, 38, 141, 57, 79, 38, 75, 0, 55, 31, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 0, 5, 0, 4, 6, 9, 0, 7, 0, 0
hsa-miR-105-5p, 75, 83, 86, 0, 108, 88, 167, 102, 190, 50, 128, 47, 87, 109, 86, 142, 156, 120, 352, 345, 919, 57, 37, 49, 49, 42, 59, 23, 54, 46, 13, 10, 11, 573, 543, 168, 218, 508, 661, 1049, 891, 858, 1255, 1369, 1829, 722, 854, 769, 99, 99, 83, 66, 364, 135, 219, 843, 893, 937, 1336, 887, 592, 3120, 1920, 1513, 1415, 1545, 1503, 1261, 1933, 1309, 28, 28, 28, 28, 28, 28, 28, 28, 28, 22, 20, 171, 83, 57, 195, 276, 332, 572, 387, 298, 740, 637, 518, 587, 711, 680, 760, 761, 618
hsa-miR-106a-3p, 21, 25, 26, 0, 34, 0, 38, 30, 0, 16, 41, 0, 20, 0, 33, 0, 90, 41, 0, 71, 221, 0, 2, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 31, 15, 7, 19, 28, 29, 82, 47, 56, 111, 101, 133, 66, 71, 75, 14, 14, 0, 0, 8, 8, 10, 55, 56, 59, 97, 74, 63, 307, 127, 90, 123, 153, 121, 99, 208, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 5, 13, 13, 18, 35, 26, 24, 55, 28, 33, 44, 59, 57, 28, 24, 26
hsa-miR-106b-3p, 198, 226, 210, 117, 388, 233, 696, 539, 516, 243, 654, 257, 300, 459, 469, 502, 490, 490, 385, 580, 1407, 172, 201, 96, 220, 178, 227, 83, 172, 210, 99, 76, 77, 1835, 1963, 726, 1163, 2264, 3029, 4867, 4090, 3532, 6145, 5774, 7024, 4908, 5501, 5430, 547, 547, 744, 585, 1780, 953, 618, 3146, 4105, 2900, 3751, 2981, 2416, 7365, 4152, 3835, 3273, 3420, 3830, 2551, 3673, 3146, 93, 93, 93, 93, 93, 93, 93, 93, 93, 108, 103, 556, 416, 151, 522, 883, 789, 1277, 1011, 837, 1403, 1136, 1070, 1116, 1241, 1341, 1054, 912, 945
