miRNA, newbatch_Clontech_trimmed.1_R1.fq, newbatch_Clontech_trimmed.2_R1.fq, Illumina_trimmed.11.fq, NEB_trimmed.11.fq, NEXT_trimmed.11.fq, directional_deduped_lib_align_seed15_acc_11_bam2fastq.fq, Five_double_acc_11.fq, mm0_Clontech_trimmed.1_R1.fq, mm0_Clontech_trimmed.2_R1.fq, mm0_Clontech_trimmed.3_R1.fq, mm0_Clontech_trimmed.4_R1.fq, mm0_Clontech_trimmed.5_R1.fq, mm0_Clontech_trimmed.6_R1.fq, mm0_Clontech_trimmed.7_R1.fq, mm0_Clontech_trimmed.8_R1.fq, mm0_Clontech_trimmed.9_R1.fq, mm0_Clontech_trimmed.10_R1.fq, mm0_Clontech_trimmed.11_R1.fq, mm0_Clontech_trimmed.12_R1.fq, mm0_Clontech_trimmed.13_R1.fq, mm0_Clontech_trimmed.14_R1.fq, mm0_Clontech_trimmed.15_R1.fq, mm0_Clontech_trimmed.16_R1.fq, mm0_Clontech_trimmed.17_R1.fq, mm0_Clontech_trimmed.18_R1.fq, mm0_Illumina_trimmed.1_R1.fq, mm0_Illumina_trimmed.2_R1.fq, mm0_Illumina_trimmed.3_R1.fq, mm0_Illumina_trimmed.4_R1.fq, mm0_Illumina_trimmed.5_R1.fq, mm0_Illumina_trimmed.6_R1.fq, mm0_Illumina_trimmed.7_R1.fq, mm0_Illumina_trimmed.8_R1.fq, mm0_Illumina_trimmed.9_R1.fq, mm0_NEB_trimmed.1_R1.fq, mm0_NEB_trimmed.2_R1.fq, mm0_NEB_trimmed.3_R1.fq, mm0_NEB_trimmed.4_R1.fq, mm0_NEB_trimmed.5_R1.fq, mm0_NEB_trimmed.6_R1.fq, mm0_NEB_trimmed.7_R1.fq, mm0_NEB_trimmed.8_R1.fq, mm0_NEB_trimmed.9_R1.fq, mm0_NEB_trimmed.10_R1.fq, mm0_NEB_trimmed.11_R1.fq, mm0_NEB_trimmed.12_R1.fq, mm0_NEXT_trimmed.1_R1.fq, mm0_NEXT_trimmed.2_R1.fq, mm0_NEXT_trimmed.3_R1.fq, mm0_NEXT_trimmed.4_R1.fq, mm0_NEXT_trimmed.5_R1.fq, mm0_NEXT_trimmed.6_R1.fq, mm0_NEXT_trimmed.7_R1.fq, mm0_NEXT_trimmed.8_R1.fq, mm0_NEXT_trimmed.9_R1.fq, mm0_NEXT_trimmed.10_R1.fq, mm0_NEXT_trimmed.11_R1.fq, mm0_NEXT_trimmed.12_R1.fq, mm0_NEXT_trimmed.13_R1.fq, mm0_NEXT_trimmed.14_R1.fq, mm0_NEXT_trimmed.15_R1.fq, mm0_NEXT_trimmed.16_R1.fq, mm0_NEXT_trimmed.17_R1.fq, mm0_NEXT_trimmed.18_R1.fq, directional_deduped_lib_align_seed15_1_bam2fastq.fq, directional_deduped_lib_align_seed15_2_bam2fastq.fq, directional_deduped_lib_align_seed15_3_bam2fastq.fq, directional_deduped_lib_align_seed15_4_bam2fastq.fq, directional_deduped_lib_align_seed15_5_bam2fastq.fq, directional_deduped_lib_align_seed15_6_bam2fastq.fq, directional_deduped_lib_align_seed15_7_bam2fastq.fq, directional_deduped_lib_align_seed15_8_bam2fastq.fq, directional_deduped_lib_align_seed15_9_bam2fastq.fq, directional_deduped_lib_align_seed15_10_bam2fastq.fq, directional_deduped_lib_align_seed15_11_bam2fastq.fq, directional_deduped_lib_align_seed15_12_bam2fastq.fq, directional_deduped_lib_align_seed15_13_bam2fastq.fq, directional_deduped_lib_align_seed15_14_bam2fastq.fq, directional_deduped_lib_align_seed15_15_bam2fastq.fq, directional_deduped_lib_align_seed15_16_bam2fastq.fq, directional_deduped_lib_align_seed15_17_bam2fastq.fq, directional_deduped_lib_align_seed15_18_bam2fastq.fq, Five_double_1.fq, Five_double_2.fq, Five_double_3.fq, Five_double_4.fq, Five_double_5.fq, Five_double_6.fq, Five_double_7.fq, Five_double_8.fq, Five_double_9.fq, Five_double_10.fq, Five_double_11.fq, Five_double_12.fq, Five_double_13.fq, Five_double_14.fq, Five_double_15.fq, Five_double_16.fq, Five_double_17.fq, Five_double_18.fq
hsa-let-7e-5p, 19165, 11281, 104, 25856, 33087, 3832, 1600, 12289, 10893, 10482, 6154, 16801, 11147, 21109, 15517, 16752, 8613, 19405, 7672, 11324, 16875, 17027, 21734, 24623, 19392, 8033, 8750, 7092, 11489, 9081, 11148, 5162, 10689, 11388, 35705, 34352, 12975, 13999, 35745, 47327, 61845, 55548, 49337, 74725, 78196, 95655, 47526, 47618, 30932, 56476, 28972, 21357, 74178, 102760, 89035, 73609, 50607, 38841, 155088, 67513, 63566, 51008, 55390, 53930, 3233, 3008, 2593, 4155, 3044, 2354, 4353, 5281, 5113, 4866, 4240, 3681, 6855, 5011, 4691, 4353, 4661, 4728, 2279, 2342, 1524, 2722, 1437, 1014, 3574, 5069, 4306, 3588, 2454, 1903, 7440, 3201, 3069, 2487, 2650, 2650
hsa-let-7f-1-3p, 43, 34, 0, 245, 105, 24, 0, 43, 41, 43, 40, 63, 57, 80, 57, 43, 33, 64, 29, 35, 51, 44, 67, 73, 56, 26, 0, 0, 24, 17, 14, 11, 15, 0, 333, 339, 0, 136, 311, 461, 574, 627, 470, 749, 793, 964, 0, 0, 0, 109, 51, 0, 0, 284, 199, 254, 231, 118, 616, 234, 277, 247, 290, 325, 0, 0, 0, 18, 0, 0, 0, 34, 25, 40, 45, 29, 55, 21, 46, 37, 54, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 17, 0, 0
hsa-let-7f-2-3p, 35, 26, 0, 58, 0, 0, 0, 17, 22, 27, 0, 30, 9, 30, 23, 20, 19, 37, 9, 20, 19, 18, 21, 45, 38, 0, 0, 0, 0, 44, 0, 0, 55, 43, 40, 38, 17, 35, 75, 90, 215, 171, 148, 312, 322, 291, 0, 0, 0, 0, 0, 0, 0, 81, 60, 0, 86, 0, 310, 0, 0, 138, 101, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 63, 0, 0, 64, 46, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-let-7f-5p, 72667, 42627, 804, 406176, 257179, 7273, 12700, 40784, 33851, 31869, 24464, 65892, 46809, 83940, 59935, 57608, 31984, 70313, 29026, 44082, 63473, 65451, 85691, 98334, 78026, 45221, 53643, 39547, 69030, 49336, 62082, 28491, 57398, 67880, 418257, 490213, 128900, 164144, 467351, 596351, 768658, 732045, 661813, 964373, 1018512, 1248613, 228691, 207984, 136032, 313987, 177838, 136951, 488010, 594276, 556286, 684698, 434078, 282713, 1472754, 725365, 592430, 655264, 704279, 705430, 6427, 5552, 5010, 6278, 5616, 5605, 7455, 7025, 7357, 8063, 7131, 6305, 9528, 8517, 7594, 8986, 8900, 9032, 11285, 9952, 6715, 15202, 8812, 6593, 23714, 28877, 27123, 33223, 20961, 13791, 71295, 35163, 28987, 32081, 34274, 34379
hsa-let-7g-3p, 221, 119, 0, 19, 12, 5, 0, 90, 78, 83, 42, 175, 79, 242, 188, 173, 101, 247, 89, 149, 191, 195, 245, 229, 181, 29, 33, 15, 37, 25, 37, 30, 44, 55, 24, 32, 18, 24, 37, 49, 53, 72, 59, 132, 113, 157, 0, 19, 5, 41, 0, 14, 38, 42, 31, 76, 57, 51, 248, 157, 116, 134, 123, 127, 0, 0, 0, 14, 0, 3, 6, 10, 8, 29, 26, 21, 67, 58, 31, 53, 53, 66, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 9, 9, 0, 7, 6, 6
hsa-let-7g-5p, 31308, 18309, 196, 345746, 171392, 6563, 8439, 37935, 31700, 29652, 12496, 33584, 22391, 42337, 29424, 23923, 16828, 37972, 15439, 23804, 34928, 35420, 45202, 49711, 43229, 21091, 23828, 17641, 31055, 21670, 27685, 12267, 25068, 27189, 233079, 277975, 65884, 111738, 342917, 414967, 608089, 575917, 534968, 785247, 840067, 1063207, 114376, 100553, 67298, 213979, 127585, 104388, 383333, 457325, 396086, 532334, 346377, 226974, 1186563, 592391, 481134, 529301, 579242, 571361, 4554, 3790, 3516, 5730, 4673, 4867, 6378, 6104, 6666, 7214, 6441, 5536, 8769, 7782, 6965, 8171, 8663, 8280, 5600, 4782, 3309, 10371, 6154, 5115, 18782, 22301, 19287, 26144, 17104, 11051, 57943, 29014, 23633, 25821, 28291, 28032
hsa-let-7i-3p, 631, 318, 0, 114, 76, 37, 5, 250, 408, 291, 212, 758, 321, 752, 574, 615, 396, 789, 349, 396, 695, 692, 792, 871, 716, 152, 79, 81, 93, 113, 132, 72, 182, 120, 98, 111, 37, 88, 199, 257, 431, 371, 309, 550, 473, 626, 57, 62, 35, 258, 80, 173, 465, 400, 490, 955, 720, 705, 3422, 1873, 1455, 1792, 2647, 2245, 17, 18, 10, 109, 41, 39, 95, 112, 163, 310, 249, 237, 554, 452, 380, 482, 635, 586, 0, 5, 2, 12, 2, 13, 29, 17, 23, 45, 41, 22, 171, 103, 59, 81, 136, 116
hsa-let-7i-5p, 8484, 5132, 112, 227355, 52936, 4835, 2675, 4579, 5838, 4558, 2242, 8594, 4185, 9574, 6639, 6980, 4553, 9159, 3846, 5836, 8535, 8625, 10552, 11143, 9728, 9278, 7904, 6560, 10957, 9092, 11500, 5211, 10737, 12719, 207611, 230088, 48159, 64262, 217797, 249940, 321986, 316813, 294069, 399501, 440485, 569450, 22386, 17248, 11051, 32275, 20605, 18972, 56958, 62126, 63794, 94468, 54738, 34132, 186070, 102738, 73427, 95796, 114734, 101687, 2165, 1864, 1595, 3282, 2664, 2207, 3930, 4085, 4547, 5277, 4238, 3390, 6810, 5719, 4831, 5612, 6015, 5792, 1111, 825, 562, 1601, 949, 886, 2778, 2990, 3052, 4506, 2619, 1706, 9177, 5132, 3558, 4691, 5721, 5095
hsa-miR-1-3p, 555, 279, 0, 3390, 3376, 942, 158, 501, 351, 343, 290, 635, 512, 885, 623, 514, 350, 738, 289, 487, 636, 680, 861, 1116, 842, 22, 22, 23, 42, 30, 24, 27, 31, 35, 2381, 2517, 557, 1266, 3631, 4984, 7562, 7962, 6508, 11758, 13102, 16901, 1339, 1282, 841, 2122, 1202, 890, 5654, 6064, 5435, 8075, 4707, 3355, 24820, 12832, 9761, 10686, 10777, 10843, 337, 289, 288, 758, 540, 315, 1002, 1193, 1210, 1635, 1224, 986, 2754, 2016, 1807, 1876, 1927, 2020, 68, 61, 40, 99, 44, 44, 302, 305, 285, 391, 219, 153, 1220, 599, 470, 495, 541, 542
hsa-miR-1-5p, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 7, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 25, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-100-3p, 7, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 7, 0, 3, 0, 0, 0, 6, 0, 0, 0, 5, 0, 14, 0, 20, 16, 7, 15, 26, 31, 13, 28, 41, 0, 0, 0, 4, 5, 4, 8, 3, 11, 11, 21, 19, 0, 0, 0, 3, 0, 0, 0, 0, 7, 18, 0, 0, 22, 12, 0, 24, 21, 8, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4, 0, 0, 4, 6, 0, 5, 7, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hsa-miR-100-5p, 857, 484, 421, 261225, 79967, 5530, 4028, 2425, 2062, 2062, 703, 1870, 1157, 2069, 1559, 1147, 849, 1778, 802, 984, 1620, 1536, 1673, 1877, 1786, 66015, 51426, 68798, 71256, 75799, 66717, 25196, 65688, 51883, 326614, 322797, 103200, 129128, 319586, 403687, 711785, 617802, 493614, 873384, 879266, 1149625, 23196, 26242, 15576, 51368, 29321, 18586, 106869, 127596, 121551, 202931, 140270, 83651, 426532, 226552, 195951, 201562, 242223, 231121, 2185, 2233, 1868, 3631, 2903, 2231, 5066, 5417, 5329, 6422, 5736, 4613, 8885, 7091, 6499, 6727, 6845, 7275, 1133, 1289, 728, 2512, 1486, 915, 5111, 6083, 5909, 9832, 6666, 3989, 20807, 10956, 9559, 9914, 11977, 11384
hsa-miR-101-3p, 1061, 469, 115, 27206, 7693, 1985, 391, 554, 974, 770, 249, 1346, 342, 1205, 877, 914, 580, 1334, 559, 826, 1247, 1191, 1506, 2032, 1619, 8613, 9635, 5949, 13078, 10274, 12395, 6643, 13985, 15263, 16691, 25075, 5584, 11348, 25408, 31605, 75647, 64833, 50645, 115424, 111411, 143507, 5220, 6101, 3727, 18515, 8953, 5536, 28291, 33760, 35031, 64916, 46164, 39738, 170015, 110102, 85206, 98713, 135099, 125052, 878, 879, 697, 2911, 2135, 1184, 3021, 3882, 3960, 5742, 4896, 4355, 8638, 7128, 6427, 7167, 7851, 7910, 255, 311, 180, 891, 451, 259, 1345, 1591, 1732, 3130, 2181, 1894, 8352, 5242, 4163, 4850, 6688, 6026
hsa-miR-101-5p, 45, 24, 0, 0, 10, 0, 0, 15, 25, 19, 12, 37, 18, 40, 24, 37, 17, 39, 10, 18, 35, 33, 40, 43, 39, 126, 78, 47, 105, 86, 78, 45, 103, 78, 84, 113, 23, 61, 111, 160, 335, 343, 262, 559, 516, 602, 0, 0, 0, 26, 21, 0, 55, 0, 56, 94, 70, 49, 233, 161, 133, 113, 153, 129, 0, 0, 0, 6, 6, 0, 10, 0, 12, 25, 14, 12, 30, 27, 27, 25, 38, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 12, 6, 8, 5, 0, 0
hsa-miR-103a-2-5p, 34, 23, 0, 0, 17, 6, 0, 24, 19, 6, 7, 19, 20, 73, 41, 51, 29, 65, 23, 44, 46, 41, 52, 55, 66, 0, 0, 0, 12, 8, 20, 7, 16, 3, 3, 0, 8, 0, 0, 16, 21, 8, 17, 52, 53, 68, 0, 0, 0, 14, 12, 0, 30, 46, 26, 100, 73, 56, 199, 103, 76, 89, 117, 112, 0, 0, 0, 7, 10, 0, 7, 15, 10, 48, 31, 28, 47, 38, 32, 37, 45, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 4, 8, 9, 0, 0, 8, 0
hsa-miR-105-3p, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 5, 0, 0, 0, 0, 9, 0, 5, 0, 0, 10, 4, 2, 7, 6, 0, 6, 7, 7, 17, 7, 3, 0, 16, 14, 39, 24, 19, 38, 47, 60, 0, 0, 0, 0, 0, 0, 0, 13, 3, 12, 7, 13, 38, 0, 14, 16, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 0, 5, 0, 4, 5, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0
hsa-miR-105-5p, 32, 18, 0, 387, 419, 172, 24, 38, 39, 39, 0, 35, 30, 55, 27, 35, 12, 38, 13, 25, 33, 26, 49, 38, 33, 48, 32, 41, 42, 29, 54, 17, 51, 41, 512, 477, 132, 195, 456, 610, 958, 844, 803, 1181, 1283, 1681, 98, 79, 64, 330, 128, 194, 800, 842, 871, 1279, 810, 563, 2976, 1835, 1406, 1370, 1479, 1421, 27, 21, 18, 161, 80, 53, 187, 272, 322, 550, 373, 287, 701, 613, 499, 566, 685, 660, 5, 2, 5, 14, 3, 9, 36, 35, 29, 50, 41, 30, 147, 95, 75, 61, 72, 57
